Player,Team,Pos,Injury,Status,Est. Return
Jamal Adams,SEA,S,Knee,IR,Subscribers Only
Matt Adams,CHI,LB,Calf,IR-R,Subscribers Only
Rodney Adams,NYJ,WR,Illness,NFI-R,Subscribers Only
Olasunkanmi Adeniyi,TEN,LB,Neck,IR,Subscribers Only
Azeez Al-Shaair,SF,LB,Knee - MCL,IR-R,Subscribers Only
Otaro Alaka,FA,LB,Undisclosed,Questionable,Subscribers Only
Isaac Alarcon,FA,OT,Ankle,Questionable,Subscribers Only
Christian Albright,FA,LB,Undisclosed,Questionable,Subscribers Only
Mackensie Alexander,FA,CB,Groin,Questionable,Subscribers Only
Maurice Alexander,FA,WR,Ankle,Questionable,Subscribers Only
Mo Alie-Cox,IND,TE,Ankle,Questionable,Subscribers Only
Brian Allen,LAR,C,Knee,Questionable,Subscribers Only
Christopher Allen,DEN,LB,Foot,IR,Subscribers Only
Josh Allen,BUF,QB,Elbow,Questionable,Subscribers Only
Keenan Allen,LAC,WR,Hamstring,Out,Subscribers Only
Tremayne Anchrum,LAR,OT,Lower Leg,IR,Subscribers Only
Darius Anderson,HOU,RB,Knee,IR,Subscribers Only
Henry Anderson,CAR,DE,Illness,NFI-R,Subscribers Only
Tycen Anderson,CIN,S,Hamstring,IR,Subscribers Only
David Andrews,NE,C,Concussion,Questionable,Subscribers Only
Mark Andrews,BAL,TE,Shoulder,Questionable,Subscribers Only
Ezekiel Ansah,FA,DE,Biceps,Questionable,Subscribers Only
Andre Anthony,FA,LB,Undisclosed,Out,Subscribers Only
Israel Antwine,FA,DT,Suspension,Reserve-Sus,Subscribers Only
Arik Armstead,SF,DE,Foot,Out,Subscribers Only
Terron Armstead,MIA,OT,Toe,Questionable,Subscribers Only
Grayland Arnold,HOU,S,Quadriceps,IR,Subscribers Only
Jaytlin Askew,FA,CB,Quadriceps,Questionable,Subscribers Only
Calvin Austin,PIT,WR,Foot,IR,Subscribers Only
C. J. Avery,FA,LB,Undisclosed,Questionable,Subscribers Only
Chidobe Awuzie,CIN,CB,Knee - ACL,IR,Subscribers Only
Budda Baker,ARI,S,Ankle,Questionable,Subscribers Only
David Bakhtiari,GB,OT,Knee,Questionable,Subscribers Only
Christian Barmore,NE,DT,Knee,Questionable,Subscribers Only
Kenjon Barner,FA,RB,Undisclosed,Questionable,Subscribers Only
Krys Barnes,GB,LB,Concussion,Doubtful,Subscribers Only
Derek Barnett,PHI,DE,Knee - ACL,IR,Subscribers Only
Anthony Barr,DAL,LB,Hamstring,Out,Subscribers Only
Shaquil Barrett,TB,LB,Achilles,IR,Subscribers Only
Ben Bartch,JAX,OG,Knee,IR,Subscribers Only
Rashod Bateman,BAL,WR,Foot,IR,Subscribers Only
Nick Bawden,NYJ,FB,Undisclosed,IR,Subscribers Only
Evan Baylis,FA,TE,Ankle,Questionable,Subscribers Only
Darrian Beavers,NYG,LB,Knee - ACL,IR,Subscribers Only
Willie Beavers,FA,OG,Undisclosed,Questionable,Subscribers Only
Andrew Beck,DEN,TE,Hamstring,Out,Subscribers Only
Nate Becker,FA,TE,Undisclosed,Questionable,Subscribers Only
Odell Beckham,FA,WR,Knee - ACL,Questionable,Subscribers Only
Mekhi Becton,NYJ,OT,Kneecap,IR,Subscribers Only
Blake Bell,KC,TE,Hip,IR,Subscribers Only
Greg Bell,DET,RB,Hamstring,IR,Subscribers Only
Daniel Bellinger,NYG,TE,Eye,Out,Subscribers Only
B.J. Bello,FA,LB,Ankle,Questionable,Subscribers Only
Giovani Bernard,TB,RB,Ankle,IR,Subscribers Only
Jared Bernhardt,ATL,WR,Groin,IR,Subscribers Only
Taylor Bertolet,FA,K,Quadriceps,Out,Subscribers Only
Vince Biegel,BAL,LB,Achilles,IR,Subscribers Only
Rodrigo Blankenship,FA,K,Undisclosed,Questionable,Subscribers Only
Jacob Bobenmoyer,DEN,C,Thumb,IR,Subscribers Only
Ike Boettger,BUF,OG,Achilles,PUP-R,Subscribers Only
Slade Bolden,FA,WR,Undisclosed,Questionable,Subscribers Only
Garett Bolles,DEN,OT,Leg,IR,Subscribers Only
Devante Bond,DAL,LB,Knee,IR,Subscribers Only
Nik Bonitto,DEN,LB,Illness,Questionable,Subscribers Only
Mike Boone,DEN,RB,Ankle,IR,Subscribers Only
Joey Bosa,LAC,LB,Groin,IR,Subscribers Only
Chris Boswell,PIT,K,Groin,IR,Subscribers Only
Ben Braden,FA,OG,Undisclosed,Questionable,Subscribers Only
Cameron Brate,TB,TE,Neck,Questionable,Subscribers Only
Ben Bredeson,NYG,OG,Knee,IR,Subscribers Only
Shemar Bridges,FA,WR,Undisclosed,Questionable,Subscribers Only
Teddy Bridgewater,MIA,QB,Knee,Questionable,Subscribers Only
Beau Brinkley,ATL,C,Undisclosed,IR,Subscribers Only
Justin Britt,HOU,C,Personal,NFI-R,Subscribers Only
K.J. Britt,TB,LB,Ankle,IR,Subscribers Only
Gabe Brkic,FA,K,Hamstring,Questionable,Subscribers Only
Antonio Brown,FA,WR,Ankle,Questionable,Subscribers Only
Ben Brown,CIN,C,Biceps,IR,Subscribers Only
Daniel Brown,FA,TE,Hip,Questionable,Subscribers Only
Malcolm Brown,LAR,RB,Hamstring,Out,Subscribers Only
Marquise Brown,ARI,WR,Foot,IR,Subscribers Only
Mike Brown,FA,OG,Undisclosed,Questionable,Subscribers Only
Shakur Brown,FA,CB,Undisclosed,Questionable,Subscribers Only
Tre Brown,SEA,CB,Knee,PUP-R,Subscribers Only
Baron Browning,DEN,LB,Hip,Out,Subscribers Only
Logan Bruss,LAR,OG,Knee - ACL + MCL,IR,Subscribers Only
Hunter Bryant,FA,TE,Undisclosed,Questionable,Subscribers Only
Bryan Bulaga,FA,OT,Back,Questionable,Subscribers Only
