p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,week,year,plyr_number
joshjones_ari_2022_10,ari_2022_10,joshjones_ari_2022,ari_2022,joshjones,26634,t,ari,1,0,1,79.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
danmoorejr_pit_2022_10,pit_2022_10,danmoorejr_pit_2022,pit_2022,danmoorejr,60120,t,pit,1,0,25,61.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
chukwumaokorafor_pit_2022_10,pit_2022_10,chukwumaokorafor_pit_2022,pit_2022,chukwumaokorafor,46302,t,pit,1,0,25,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
kevindotson_pit_2022_10,pit_2022_10,kevindotson_pit_2022,pit_2022,kevindotson,46735,g,pit,1,0,25,62.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
masoncole_pit_2022_10,pit_2022_10,masoncole_pit_2022,pit_2022,masoncole,45547,ol,pit,1,0,25,52.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
jamesdaniels_pit_2022_10,pit_2022_10,jamesdaniels_pit_2022,pit_2022,jamesdaniels,45576,g,pit,1,0,25,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
tyrephillips_nyg_2022_10,nyg_2022_10,tyrephillips_nyg_2022,nyg_2022,tyrephillips,59874,t,nyg,1,0,21,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
jonfeliciano_nyg_2022_10,nyg_2022_10,jonfeliciano_nyg_2022,nyg_2022,jonfeliciano,9561,ol,nyg,1,0,21,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
joshuaezeudu_nyg_2022_10,nyg_2022_10,joshuaezeudu_nyg_2022,nyg_2022,joshuaezeudu,77355,g,nyg,1,0,21,51.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
markglowinski_nyg_2022_10,nyg_2022_10,markglowinski_nyg_2022,nyg_2022,markglowinski,9567,g,nyg,1,0,21,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
andrewthomas_nyg_2022_10,nyg_2022_10,andrewthomas_nyg_2022,nyg_2022,andrewthomas,59701,t,nyg,1,0,21,91.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
michaelschofieldiii_chi_2022_10,chi_2022_10,michaelschofieldiii_chi_2022,chi_2022,michaelschofieldiii,8730,g,chi,1,0,6,70.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
odayaboushi_lar_2022_10,lar_2022_10,odayaboushi_lar_2022,lar_2022,odayaboushi,7923,g,lar,1,0,26,69.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
calvinanderson_den_2022_10,den_2022_10,calvinanderson_den_2022,den_2022,calvinanderson,46247,t,den,1,0,10,73.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
quinnmeinerz_den_2022_10,den_2022_10,quinnmeinerz_den_2022,den_2022,quinnmeinerz,112915,g,den,1,0,10,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
daltonrisner_den_2022_10,den_2022_10,daltonrisner_den_2022,den_2022,daltonrisner,47008,g,den,1,0,10,48.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
billyturner_den_2022_10,den_2022_10,billyturner_den_2022,den_2022,billyturner,8702,t,den,1,0,10,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
kylefuller_sea_2022_10,sea_2022_10,kylefuller_sea_2022,sea_2022,kylefuller,11998,ol,sea,1,0,29,47.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
denniskelly_ind_2022_10,ind_2022_10,denniskelly_ind_2022,ind_2022,denniskelly,7146,t,ind,1,0,14,50.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
aaronbanks_sf_2022_10,sf_2022_10,aaronbanks_sf_2022,sf_2022,aaronbanks,59983,g,sf,1,1,28,40.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
trentwilliams_sf_2022_10,sf_2022_10,trentwilliams_sf_2022,sf_2022,trentwilliams,5529,t,sf,1,0,28,76.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
mikemcglinchey_sf_2022_10,sf_2022_10,mikemcglinchey_sf_2022,sf_2022,mikemcglinchey,46275,t,sf,1,0,28,61.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
jakebrendel_sf_2022_10,sf_2022_10,jakebrendel_sf_2022,sf_2022,jakebrendel,11117,ol,sf,1,0,28,76.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
tylersmith_dal_2022_10,dal_2022_10,tylersmith_dal_2022,dal_2022,tylersmith,98385,t,dal,1,0,9,72.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
zackmartin_dal_2022_10,dal_2022_10,zackmartin_dal_2022,dal_2022,zackmartin,8651,g,dal,1,0,9,61.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
terencesteele_dal_2022_10,dal_2022_10,terencesteele_dal_2022,dal_2022,terencesteele,39461,t,dal,1,0,9,42.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
tylerbiadasz_dal_2022_10,dal_2022_10,tylerbiadasz_dal_2022,dal_2022,tylerbiadasz,41178,ol,dal,1,0,9,64.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
hjaltefroholdt_cle_2022_10,cle_2022_10,hjaltefroholdt_cle_2022,cle_2022,hjaltefroholdt,44959,g,cle,1,0,8,87.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
joelbitonio_cle_2022_10,cle_2022_10,joelbitonio_cle_2022,cle_2022,joelbitonio,8670,g,cle,1,0,8,81.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
ethanpocic_cle_2022_10,cle_2022_10,ethanpocic_cle_2022,cle_2022,ethanpocic,11813,ol,cle,1,0,8,84.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
jedrickwillsjr_cle_2022_10,cle_2022_10,jedrickwillsjr_cle_2022,cle_2022,jedrickwillsjr,58467,t,cle,1,0,8,68.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
justinmccray_hou_2022_10,hou_2022_10,justinmccray_hou_2022,hou_2022,justinmccray,9234,g,hou,1,0,13,47.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
jackconklin_cle_2022_10,cle_2022_10,jackconklin_cle_2022,cle_2022,jackconklin,10642,t,cle,1,0,8,77.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
grahamglasgow_den_2022_10,den_2022_10,grahamglasgow_den_2022,den_2022,grahamglasgow,10729,g,den,1,0,10,80.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
spencerburford_sf_2022_10,sf_2022_10,spencerburford_sf_2022,sf_2022,spencerburford,81920,g,sf,1,0,28,42.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
