p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent,week,year,plyr_number
joeflacco_nyj_2022_10,nyj_2022_10,joeflacco_nyj_2022,nyj_2022,joeflacco,4332,qb,nyj,1,21,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
trevorlawrence_jax_2022_10,jax_2022_10,trevorlawrence_jax_2022,jax_2022,trevorlawrence,77632,qb,jax,1,20,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
matthewstafford_lar_2022_10,lar_2022_10,matthewstafford_lar_2022,lar_2022,matthewstafford,4924,qb,lar,1,18,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
joeburrow_cin_2022_10,cin_2022_10,joeburrow_cin_2022,cin_2022,joeburrow,28022,qb,cin,1,16,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
kylermurray_ari_2022_10,ari_2022_10,kylermurray_ari_2022,ari_2022,kylermurray,38334,qb,ari,1,15,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
patrickmahomes_kc_2022_10,kc_2022_10,patrickmahomes_kc_2022,kc_2022,patrickmahomes,11765,qb,kc,1,13,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
kirkcousins_min_2022_10,min_2022_10,kirkcousins_min_2022,min_2022,kirkcousins,7102,qb,min,1,13,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
davismills_hou_2022_10,hou_2022_10,davismills_hou_2022,hou_2022,davismills,52269,qb,hou,1,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
danieljones_nyg_2022_10,nyg_2022_10,danieljones_nyg_2022,nyg_2022,danieljones,39395,qb,nyg,1,12,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
dakprescott_dal_2022_10,dal_2022_10,dakprescott_dal_2022,dal_2022,dakprescott,10769,qb,dal,1,11,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
