p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play,week,year,plyr_number
kevinzeitler_bal_2022_11,bal_2022_11,kevinzeitler_bal_2022,bal_2022,kevinzeitler,7032,g,bal,1,0,3,72.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
morganmoses_bal_2022_11,bal_2022_11,morganmoses_bal_2022,bal_2022,morganmoses,8701,t,bal,1,0,3,89.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
tylerlinderbaum_bal_2022_11,bal_2022_11,tylerlinderbaum_bal_2022,bal_2022,tylerlinderbaum,82291,ol,bal,1,0,3,74.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
ronniestanley_bal_2022_11,bal_2022_11,ronniestanley_bal_2022,bal_2022,ronniestanley,10640,t,bal,1,0,3,64.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
benpowers_bal_2022_11,bal_2022_11,benpowers_bal_2022,bal_2022,benpowers,41482,g,bal,1,0,3,43.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
cordellvolson_cin_2022_11,cin_2022_11,cordellvolson_cin_2022,cin_2022,cordellvolson,30614,g,cin,1,0,7,54.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jonahwilliams_cin_2022_11,cin_2022_11,jonahwilliams_cin_2022,cin_2022,jonahwilliams,41651,t,cin,1,0,7,43.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
laelcollins_cin_2022_11,cin_2022_11,laelcollins_cin_2022,cin_2022,laelcollins,9719,t,cin,1,0,7,89.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
tedkarras_cin_2022_11,cin_2022_11,tedkarras_cin_2022,cin_2022,tedkarras,10855,ol,cin,1,0,7,55.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
alexcappa_cin_2022_11,cin_2022_11,alexcappa_cin_2022,cin_2022,alexcappa,66578,g,cin,1,0,7,72.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
nateherbig_nyj_2022_11,nyj_2022_11,nateherbig_nyj_2022,nyj_2022,nateherbig,28844,g,nyj,1,0,22,53.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
duanebrown_nyj_2022_11,nyj_2022_11,duanebrown_nyj_2022,nyj_2022,duanebrown,4340,t,nyj,1,0,22,50.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
tevenjenkins_chi_2022_11,chi_2022_11,tevenjenkins_chi_2022,chi_2022,tevenjenkins,41534,g,chi,1,0,6,64.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
lakentomlinson_nyj_2022_11,nyj_2022_11,lakentomlinson_nyj_2022,nyj_2022,lakentomlinson,9461,g,nyj,1,0,22,45.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
cedricogbuehi_nyj_2022_11,nyj_2022_11,cedricogbuehi_nyj_2022,nyj_2022,cedricogbuehi,9454,t,nyj,1,0,22,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
isaiahlikely_bal_2022_11,bal_2022_11,isaiahlikely_bal_2022,bal_2022,isaiahlikely,83955,te,bal,1,0,3,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
trentbrown_ne_2022_11,ne_2022_11,trentbrown_ne_2022,ne_2022,trentbrown,9677,t,ne,1,0,19,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jamesferentz_ne_2022_11,ne_2022_11,jamesferentz_ne_2022,ne_2022,jamesferentz,9258,ol,ne,1,0,19,56.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
yodnycajuste_ne_2022_11,ne_2022_11,yodnycajuste_ne_2022,ne_2022,yodnycajuste,46297,t,ne,1,0,19,66.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
michaelonwenu_ne_2022_11,ne_2022_11,michaelonwenu_ne_2022,ne_2022,michaelonwenu,27357,g,ne,1,0,19,91.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
josholiver_bal_2022_11,bal_2022_11,josholiver_bal_2022,bal_2022,josholiver,47083,te,bal,1,0,3,60.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
mitchellwilcox_cin_2022_11,cin_2022_11,mitchellwilcox_cin_2022,cin_2022,mitchellwilcox,47234,te,cin,1,0,7,55.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
bobbyevans_lar_2022_11,lar_2022_11,bobbyevans_lar_2022,lar_2022,bobbyevans,36800,g,lar,1,0,26,57.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
cjuzomah_nyj_2022_11,nyj_2022_11,cjuzomah_nyj_2022,nyj_2022,cjuzomah,9590,te,nyj,1,0,22,65.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
devinasiasi_cin_2022_11,cin_2022_11,devinasiasi_cin_2022,cin_2022,devinasiasi,40294,te,cin,1,0,7,59.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jonnusmith_ne_2022_11,ne_2022_11,jonnusmith_ne_2022,ne_2022,jonnusmith,11855,te,ne,1,0,19,40.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
tylerconklin_nyj_2022_11,nyj_2022_11,tylerconklin_nyj_2022,nyj_2022,tylerconklin,47124,te,nyj,1,0,22,56.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
treypipkins_lac_2022_11,lac_2022_11,treypipkins_lac_2022,lac_2022,treypipkins,91462,t,lac,1,0,27,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
isaiahwynn_ne_2022_11,ne_2022_11,isaiahwynn_ne_2022,ne_2022,isaiahwynn,46048,t,ne,1,0,19,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
hunterhenry_ne_2022_11,ne_2022_11,hunterhenry_ne_2022,ne_2022,hunterhenry,10669,te,ne,1,0,19,51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
davidquessenberry_buf_2022_11,buf_2022_11,davidquessenberry_buf_2022,buf_2022,davidquessenberry,7957,t,buf,1,0,4,71.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
djhumphries_ari_2022_11,ari_2022_11,djhumphries_ari_2022,ari_2022,djhumphries,9457,t,ari,1,0,1,64.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
brevinjordan_hou_2022_11,hou_2022_11,brevinjordan_hou_2022,hou_2022,brevinjordan,77887,te,hou,1,0,13,47.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
nickboyle_bal_2022_11,bal_2022_11,nickboyle_bal_2022,bal_2022,nickboyle,9604,te,bal,1,0,3,66.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
danarnold_jax_2022_11,jax_2022_11,danarnold_jax_2022,jax_2022,danarnold,51842,te,jax,1,0,15,68.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
zachtom_gb_2022_11,gb_2022_11,zachtom_gb_2022,gb_2022,zachtom,55443,g,gb,1,0,12,55.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
andruspeat_no_2022_11,no_2022_11,andruspeat_no_2022,no_2022,andruspeat,9446,g,no,1,0,20,53.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
hakeemadeniji_cin_2022_11,cin_2022_11,hakeemadeniji_cin_2022,cin_2022,hakeemadeniji,45419,t,cin,1,0,7,60.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
haydenhurst_cin_2022_11,cin_2022_11,haydenhurst_cin_2022,cin_2022,haydenhurst,47294,te,cin,1,0,7,70.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
