p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,week,year,plyr_number
garrettwilson_nyj_2022_11,nyj_2022_11,garrettwilson_nyj_2022,nyj_2022,garrettwilson,97405,wr,nyj,1,8.2,1,88.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
mecolehardman_kc_2022_11,kc_2022_11,mecolehardman_kc_2022,kc_2022,mecolehardman,42683,wr,kc,1,5.4,1,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
rhamondrestevenson_ne_2022_11,ne_2022_11,rhamondrestevenson_ne_2022,ne_2022,rhamondrestevenson,98689,hb,ne,1,2.6,2,42.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
teehiggins_cin_2022_11,cin_2022_11,teehiggins_cin_2022,cin_2022,teehiggins,61211,wr,cin,1,7.9,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
tylerboyd_cin_2022_11,cin_2022_11,tylerboyd_cin_2022,cin_2022,tylerboyd,10689,wr,cin,1,6.3,0,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jakobimeyers_ne_2022_11,ne_2022_11,jakobimeyers_ne_2022,ne_2022,jakobimeyers,47468,wr,ne,1,6.5,0,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
haydenhurst_cin_2022_11,cin_2022_11,haydenhurst_cin_2022,cin_2022,haydenhurst,47294,te,cin,1,5.2,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
isaiahlikely_bal_2022_11,bal_2022_11,isaiahlikely_bal_2022,bal_2022,isaiahlikely,83955,te,bal,1,13.6,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
josiahdeguara_gb_2022_11,gb_2022_11,josiahdeguara_gb_2022,gb_2022,josiahdeguara,47034,te,gb,1,6.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jordanwilkins_ind_2022_11,ind_2022_11,jordanwilkins_ind_2022,ind_2022,jordanwilkins,26618,hb,ind,1,-2.0,0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
marquezcallaway_no_2022_11,no_2022_11,marquezcallaway_no_2022,no_2022,marquezcallaway,42295,wr,no,1,11.8,0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
trequansmith_no_2022_11,no_2022_11,trequansmith_no_2022,no_2022,trequansmith,48228,wr,no,1,8.3,0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
hunterhenry_ne_2022_11,ne_2022_11,hunterhenry_ne_2022,ne_2022,hunterhenry,10669,te,ne,1,9.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
demarcusrobinson_bal_2022_11,bal_2022_11,demarcusrobinson_bal_2022,bal_2022,demarcusrobinson,10760,wr,bal,1,17.8,2,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
denzelmims_nyj_2022_11,nyj_2022_11,denzelmims_nyj_2022,nyj_2022,denzelmims,47800,wr,nyj,1,16.5,0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
raheemblackshear_car_2022_11,car_2022_11,raheemblackshear_car_2022,car_2022,raheemblackshear,57385,hb,car,1,-0.3,3,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
