p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,week,year,plyr_number
kenyandrake_bal_2022_11,bal_2022_11,kenyandrake_bal_2022,bal_2022,kenyandrake,10707,hb,bal,1,24,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
joemixon_cin_2022_11,cin_2022_11,joemixon_cin_2022,cin_2022,joemixon,11803,hb,cin,1,22,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
rhamondrestevenson_ne_2022_11,ne_2022_11,rhamondrestevenson_ne_2022,ne_2022,rhamondrestevenson,98689,hb,ne,1,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jamesrobinson_nyj_2022_11,nyj_2022_11,jamesrobinson_nyj_2022,nyj_2022,jamesrobinson,22425,hb,nyj,1,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
michaelcarter_nyj_2022_11,nyj_2022_11,michaelcarter_nyj_2022,nyj_2022,michaelcarter,57337,hb,nyj,1,12,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
deonjackson_ind_2022_11,ind_2022_11,deonjackson_ind_2022,ind_2022,deonjackson,57189,hb,ind,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
lamarjackson_bal_2022_11,bal_2022_11,lamarjackson_bal_2022,bal_2022,lamarjackson,46416,qb,bal,1,11,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jjtaylor_ne_2022_11,ne_2022_11,jjtaylor_ne_2022,ne_2022,jjtaylor,25512,hb,ne,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
kylermurray_ari_2022_11,ari_2022_11,kylermurray_ari_2022,ari_2022,kylermurray,38334,qb,ari,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
samajeperine_cin_2022_11,cin_2022_11,samajeperine_cin_2022,cin_2022,samajeperine,11869,hb,cin,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
