team_id,year,team,week,opp,total_dvoa,off_dvoa,off_pass_dvoa,off_rush_dvoa,def_dvoa,def_pass_dvoa,def_rush_dvoa,special_teams_dvoa
car_2022_2,2022,car,2,nyg,0.49,0.38,0.33,0.65,0.66,0.56,0.69,0.63
car_2022_4,2022,car,4,ari,0.22,0.27,0.36,0.2,0.38,0.38,0.41,0.49
car_2022_6,2022,car,6,lar,0.25,0.34,0.24,0.55,0.29,0.31,0.36,0.57
car_2022_8,2022,car,8,atl,0.44,0.45,0.48,0.52,0.49,0.28,0.69,0.5
car_2022_10,2022,car,10,atl,0.54,0.51,0.57,0.57,0.52,0.45,0.59,0.64
car_2022_12,2022,car,12,den,0.67,0.58,0.9,0.44,0.56,0.6,0.34,0.8
car_2022_1,2022,car,1,cle,0.34,0.3,0.43,0.18,0.53,0.61,0.34,0.57
car_2022_3,2022,car,3,no,0.45,0.44,0.44,0.49,0.39,0.34,0.6,0.79
car_2022_5,2022,car,5,sf,0.33,0.42,0.43,0.5,0.28,0.35,0.26,0.63
car_2022_7,2022,car,7,tb,0.74,0.73,0.82,0.66,0.58,0.53,0.58,0.47
car_2022_9,2022,car,9,cin,0.15,0.26,0.32,0.36,0.11,0.33,0.03,0.82
car_2022_11,2022,car,11,bal,0.27,0.14,0.26,0.17,0.64,0.69,0.41,0.65
lar_2022_2,2022,lar,2,atl,0.44,0.49,0.55,0.51,0.58,0.44,0.7,0.12
lar_2022_4,2022,lar,4,sf,0.39,0.38,0.45,0.38,0.42,0.33,0.58,0.72
lar_2022_6,2022,lar,6,car,0.63,0.5,0.64,0.48,0.68,0.68,0.49,0.7
lar_2022_8,2022,lar,8,sf,0.34,0.51,0.63,0.33,0.18,0.15,0.42,0.5
lar_2022_10,2022,lar,10,ari,0.33,0.39,0.44,0.47,0.38,0.43,0.34,0.5
lar_2022_12,2022,lar,12,kc,0.35,0.25,0.3,0.33,0.53,0.48,0.59,0.8
lar_2022_1,2022,lar,1,buf,0.31,0.3,0.38,0.34,0.48,0.37,0.83,0.58
lar_2022_3,2022,lar,3,ari,0.54,0.52,0.64,0.56,0.48,0.47,0.52,0.66
lar_2022_5,2022,lar,5,dal,0.48,0.45,0.54,0.28,0.66,0.9,0.35,0.28
lar_2022_9,2022,lar,9,tb,0.34,0.32,0.46,0.2,0.56,0.5,0.65,0.42
lar_2022_11,2022,lar,11,no,0.46,0.51,0.57,0.5,0.32,0.27,0.53,0.73
tb_2022_2,2022,tb,2,no,0.53,0.33,0.52,0.18,0.84,0.79,0.5,0.59
tb_2022_4,2022,tb,4,kc,0.66,0.72,0.76,0.39,0.49,0.59,0.27,0.38
tb_2022_6,2022,tb,6,pit,0.39,0.42,0.57,0.37,0.46,0.28,0.73,0.47
tb_2022_8,2022,tb,8,bal,0.5,0.62,0.7,0.54,0.3,0.43,0.18,0.53
tb_2022_10,2022,tb,10,sea,0.64,0.6,0.75,0.5,0.55,0.45,0.86,0.62
tb_2022_12,2022,tb,12,cle,0.45,0.43,0.55,0.35,0.57,0.59,0.43,0.47
tb_2022_1,2022,tb,1,dal,0.71,0.51,0.56,0.56,0.87,0.81,0.51,0.56
tb_2022_3,2022,tb,3,gb,0.54,0.43,0.58,0.17,0.64,0.51,0.75,0.65
tb_2022_5,2022,tb,5,atl,0.6,0.53,0.6,0.48,0.62,0.62,0.48,0.59
tb_2022_7,2022,tb,7,car,0.26,0.42,0.54,0.31,0.12,0.13,0.31,0.63
tb_2022_9,2022,tb,9,lar,0.6,0.46,0.55,0.29,0.65,0.58,0.62,0.82
den_2022_2,2022,den,2,hou,0.48,0.44,0.49,0.53,0.56,0.6,0.35,0.54
den_2022_4,2022,den,4,lv,0.4,0.38,0.5,0.31,0.46,0.51,0.36,0.64
den_2022_6,2022,den,6,lac,0.42,0.4,0.49,0.37,0.54,0.57,0.36,0.47
den_2022_8,2022,den,8,jax,0.65,0.49,0.57,0.5,0.77,0.97,0.25,0.62
