p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,week,year,plyr_number
lecitussmith_ari_2022_14,ari_2022_14,lecitussmith_ari_2022,ari_2022,lecitussmith,61069,g,ari,1,100.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
joethuney_kc_2022_14,kc_2022_14,joethuney_kc_2022,kc_2022,joethuney,10712,g,kc,1,100.0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
mattpeart_nyg_2022_14,nyg_2022_14,mattpeart_nyg_2022,nyg_2022,mattpeart,46179,t,nyg,1,100.0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
landonyoung_no_2022_14,no_2022_14,landonyoung_no_2022,no_2022,landonyoung,41761,t,no,1,100.0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
chumaedoga_atl_2022_14,atl_2022_14,chumaedoga_atl_2022,atl_2022,chumaedoga,46232,g,atl,1,100.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
ronniestanley_bal_2022_14,bal_2022_14,ronniestanley_bal_2022,bal_2022,ronniestanley,10640,t,bal,1,100.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
bobbyevans_lar_2022_14,lar_2022_14,bobbyevans_lar_2022,lar_2022,bobbyevans,36800,g,lar,1,100.0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
jchassenauer_pit_2022_14,pit_2022_14,jchassenauer_pit_2022,pit_2022,jchassenauer,45600,ol,pit,1,100.0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
shanelemieux_nyg_2022_14,nyg_2022_14,shanelemieux_nyg_2022,nyg_2022,shanelemieux,28149,g,nyg,1,100.0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
joshuaezeudu_nyg_2022_14,nyg_2022_14,joshuaezeudu_nyg_2022,nyg_2022,joshuaezeudu,77355,g,nyg,1,100.0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
