p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards,week,year,plyr_number
andylee_ari_2022_14,ari_2022_14,andylee_ari_2022,ari_2022,andylee,1906,p,ari,1,3,3,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
johnnyhekker_car_2022_14,car_2022_14,johnnyhekker_car_2022,car_2022,johnnyhekker,7252,p,car,1,5,5,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
jackfox_det_2022_14,det_2022_14,jackfox_det_2022,det_2022,jackfox,34735,p,det,1,2,2,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
thomasmorstead_mia_2022_14,mia_2022_14,thomasmorstead_mia_2022,mia_2022,thomasmorstead,5088,p,mia,1,4,4,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
bryananger_dal_2022_14,dal_2022_14,bryananger_dal_2022,dal_2022,bryananger,7072,p,dal,1,4,4,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
sammartin_buf_2022_14,buf_2022_14,sammartin_buf_2022,buf_2022,sammartin,7947,p,buf,1,3,3,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
tressway_was_2022_14,was_2022_14,tressway_was_2022,was_2022,tressway,8358,p,was,1,6,6,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
patodonnell_gb_2022_14,gb_2022_14,patodonnell_gb_2022,gb_2022,patodonnell,8826,p,gb,1,3,3,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
michaelpalardy_ne_2022_14,ne_2022_14,michaelpalardy_ne_2022,ne_2022,michaelpalardy,9277,p,ne,1,6,6,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
bradleypinion_atl_2022_14,atl_2022_14,bradleypinion_atl_2022,atl_2022,bradleypinion,9598,p,atl,1,3,3,4.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
rileydixon_lar_2022_14,lar_2022_14,rileydixon_lar_2022,lar_2022,rileydixon,10862,p,lar,1,3,3,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
matthaack_ind_2022_14,ind_2022_14,matthaack_ind_2022,ind_2022,matthaack,12212,p,ind,1,3,3,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
cameronjohnston_hou_2022_14,hou_2022_14,cameronjohnston_hou_2022,hou_2022,cameronjohnston,12255,p,hou,1,7,7,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
coreybojorquez_cle_2022_14,cle_2022_14,coreybojorquez_cle_2022,cle_2022,coreybojorquez,27626,p,cle,1,6,6,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
logancooke_jax_2022_14,jax_2022_14,logancooke_jax_2022,jax_2022,logancooke,29214,p,jax,1,3,3,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
tommytownsend_kc_2022_14,kc_2022_14,tommytownsend_kc_2022,kc_2022,tommytownsend,33007,p,kc,1,1,1,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
michaeldickson_sea_2022_14,sea_2022_14,michaeldickson_sea_2022,sea_2022,michaeldickson,35381,p,sea,1,2,2,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
ajcoleiii_lv_2022_14,lv_2022_14,ajcoleiii_lv_2022,lv_2022,ajcoleiii,36038,p,lv,1,4,4,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
jkscott_lac_2022_14,lac_2022_14,jkscott_lac_2022,lac_2022,jkscott,38809,p,lac,1,3,3,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
corlisswaitman_den_2022_14,den_2022_14,corlisswaitman_den_2022,den_2022,corlisswaitman,39620,p,den,1,7,7,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
mitchwishnowsky_sf_2022_14,sf_2022_14,mitchwishnowsky_sf_2022,sf_2022,mitchwishnowsky,44663,p,sf,1,4,4,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
bradenmann_nyj_2022_14,nyj_2022_14,bradenmann_nyj_2022,nyj_2022,bradenmann,44664,p,nyj,1,2,2,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
druechrisman_cin_2022_14,cin_2022_14,druechrisman_cin_2022,cin_2022,druechrisman,44787,p,cin,1,1,1,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
blakegillikin_no_2022_14,no_2022_14,blakegillikin_no_2022,no_2022,blakegillikin,45045,p,no,1,6,6,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
ryanstonehouse_ten_2022_14,ten_2022_14,ryanstonehouse_ten_2022,ten_2022,ryanstonehouse,52045,p,ten,1,7,7,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
jordanstout_bal_2022_14,bal_2022_14,jordanstout_bal_2022,bal_2022,jordanstout,57649,p,bal,1,6,6,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
trentongill_chi_2022_14,chi_2022_14,trentongill_chi_2022,chi_2022,trentongill,60295,p,chi,1,1,1,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
pressleyharviniii_pit_2022_14,pit_2022_14,pressleyharviniii_pit_2022,pit_2022,pressleyharviniii,62973,p,pit,1,2,2,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
jamiegillan_nyg_2022_14,nyg_2022_14,jamiegillan_nyg_2022,nyg_2022,jamiegillan,63303,p,nyg,1,7,7,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
ryanwright_min_2022_14,min_2022_14,ryanwright_min_2022,min_2022,ryanwright,77591,p,min,1,6,6,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
arrynsiposs_phi_2022_14,phi_2022_14,arrynsiposs_phi_2022,phi_2022,arrynsiposs,82019,p,phi,1,5,5,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
