p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception,week,year,plyr_number
chrisharrisjr_no_2022_15,no_2022_15,chrisharrisjr_no_2022,no_2022,chrisharrisjr,6457,cb,no,1,1,5.1,85.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
ajklein_buf_2022_15,buf_2022_15,ajklein_buf_2022,buf_2022,ajklein,7930,lb,buf,1,1,0.3,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
joethomas_chi_2022_15,chi_2022_15,joethomas_chi_2022,chi_2022,joethomas,9272,lb,chi,1,0,5.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
pjwilliams_no_2022_15,no_2022_15,pjwilliams_no_2022,no_2022,pjwilliams,9511,s,no,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
davidmayo_was_2022_15,was_2022_15,davidmayo_was_2022,was_2022,davidmayo,9602,lb,was,1,0,9.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
deonbush_kc_2022_15,kc_2022_15,deonbush_kc_2022,kc_2022,deonbush,10758,s,kc,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
jalenmills_ne_2022_15,ne_2022_15,jalenmills_ne_2022,ne_2022,jalenmills,10867,cb,ne,1,0,2.8,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
xavierwoods_car_2022_15,car_2022_15,xavierwoods_car_2022,car_2022,xavierwoods,11946,s,car,1,2,56.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
seanmurphybunting_tb_2022_15,tb_2022_15,seanmurphybunting_tb_2022,tb_2022,seanmurphybunting,25891,cb,tb,1,0,1.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
jabrilcox_dal_2022_15,dal_2022_15,jabrilcox_dal_2022,dal_2022,jabrilcox,30669,lb,dal,1,0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
darnellsavage_gb_2022_15,gb_2022_15,darnellsavage_gb_2022,gb_2022,darnellsavage,34247,s,gb,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
zayneanderson_kc_2022_15,kc_2022_15,zayneanderson_kc_2022,kc_2022,zayneanderson,34622,s,kc,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
blakecashman_hou_2022_15,hou_2022_15,blakecashman_hou_2022,hou_2022,blakecashman,35413,lb,hou,1,0,6.3,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
troyreeder_lac_2022_15,lac_2022_15,troyreeder_lac_2022,lac_2022,troyreeder,38268,lb,lac,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
antoinewinfieldjr_tb_2022_15,tb_2022_15,antoinewinfieldjr_tb_2022,tb_2022,antoinewinfieldjr,42475,s,tb,1,1,-4.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
krysbarnes_gb_2022_15,gb_2022_15,krysbarnes_gb_2022,gb_2022,krysbarnes,42548,lb,gb,1,1,5.4,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
samfranklin_car_2022_15,car_2022_15,samfranklin_car_2022,car_2022,samfranklin,43580,s,car,1,0,9.0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
rodariuswilliams_nyg_2022_15,nyg_2022_15,rodariuswilliams_nyg_2022,nyg_2022,rodariuswilliams,44160,cb,nyg,1,0,28.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
tonybrown_ind_2022_15,ind_2022_15,tonybrown_ind_2022,ind_2022,tonybrown,49255,cb,ind,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
kindlevildor_chi_2022_15,chi_2022_15,kindlevildor_chi_2022,chi_2022,kindlevildor,49346,cb,chi,1,1,10.5,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
chrislammons_kc_2022_15,kc_2022_15,chrislammons_kc_2022,kc_2022,chrislammons,49368,cb,kc,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
chaunceygardnerjohnson_phi_2022_15,phi_2022_15,chaunceygardnerjohnson_phi_2022,phi_2022,chaunceygardnerjohnson,49371,s,phi,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
dariusphillips_den_2022_15,den_2022_15,dariusphillips_den_2022,den_2022,dariusphillips,49507,cb,den,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
tyreldodson_buf_2022_15,buf_2022_15,tyreldodson_buf_2022,buf_2022,tyreldodson,51045,lb,buf,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
mikeedwards_tb_2022_15,tb_2022_15,mikeedwards_tb_2022,tb_2022,mikeedwards,51282,s,tb,1,1,5.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
kennymooreii_ind_2022_15,ind_2022_15,kennymooreii_ind_2022,ind_2022,kennymooreii,51596,cb,ind,1,0,4.3,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
thomasgrahamjr_cle_2022_15,cle_2022_15,thomasgrahamjr_cle_2022,cle_2022,thomasgrahamjr,55685,cb,cle,1,1,1.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
