p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa,week,year,plyr_number
joeflacco_nyj_2022_15,nyj_2022_15,joeflacco_nyj_2022,nyj_2022,joeflacco,4332,qb,nyj,1,80.4,51,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
joeburrow_cin_2022_15,cin_2022_15,joeburrow_cin_2022,cin_2022,joeburrow,28022,qb,cin,1,71.4,49,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
mattryan_ind_2022_15,ind_2022_15,mattryan_ind_2022,ind_2022,mattryan,4317,qb,ind,1,72.3,47,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
trevorlawrence_jax_2022_15,jax_2022_15,trevorlawrence_jax_2022,jax_2022,trevorlawrence,77632,qb,jax,1,69.4,36,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
russellwilson_den_2022_15,den_2022_15,russellwilson_den_2022,den_2022,russellwilson,7077,qb,den,1,75.6,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
carsonwentz_was_2022_15,was_2022_15,carsonwentz_was_2022,was_2022,carsonwentz,10636,qb,was,1,73.7,38,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
patrickmahomes_kc_2022_15,kc_2022_15,patrickmahomes_kc_2022,kc_2022,patrickmahomes,11765,qb,kc,1,79.5,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
mitchelltrubisky_pit_2022_15,pit_2022_15,mitchelltrubisky_pit_2022,pit_2022,mitchelltrubisky,11757,qb,pit,1,63.6,33,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
davismills_hou_2022_15,hou_2022_15,davismills_hou_2022,hou_2022,davismills,52269,qb,hou,1,71.4,35,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
derekcarr_lv_2022_15,lv_2022_15,derekcarr_lv_2022,lv_2022,derekcarr,8671,qb,lv,1,66.7,33,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
