p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,week,year,plyr_number
demariodavis_no_2022_15,no_2022_15,demariodavis_no_2022,no_2022,demariodavis,7079,lb,no,1,2,,2.0,0,0,0,0,0,0,0,0,0,15,2022,15
tashaungipsonsr_sf_2022_15,sf_2022_15,tashaungipsonsr_sf_2022,sf_2022,tashaungipsonsr,7288,s,sf,1,10,,10.0,0,0,0,0,0,0,0,0,0,15,2022,15
rodneythomasii_ind_2022_15,ind_2022_15,rodneythomasii_ind_2022,ind_2022,rodneythomasii,108389,s,ind,1,3,,3.0,0,0,0,0,0,0,0,0,0,15,2022,15
martinemerson_cle_2022_15,cle_2022_15,martinemerson_cle_2022,cle_2022,martinemerson,97872,cb,cle,1,1,,1.0,0,0,0,0,0,0,0,0,0,15,2022,15
zavencollins_ari_2022_15,ari_2022_15,zavencollins_ari_2022,ari_2022,zavencollins,77190,lb,ari,1,4,,4.0,0,0,0,0,0,0,0,0,0,15,2022,15
eliapple_cin_2022_15,cin_2022_15,eliapple_cin_2022,cin_2022,eliapple,10644,cb,cin,1,2,,2.0,0,0,0,0,0,0,0,0,0,15,2022,15
deandrehoustoncarson_chi_2022_15,chi_2022_15,deandrehoustoncarson_chi_2022,chi_2022,deandrehoustoncarson,10819,s,chi,1,7,,7.0,0,0,0,0,0,0,0,0,0,15,2022,15
grantdelpit_cle_2022_15,cle_2022_15,grantdelpit_cle_2022,cle_2022,grantdelpit,60685,s,cle,1,9,,4.5,0,0,0,0,0,0,0,0,0,15,2022,15
claytonfejedelem_mia_2022_15,mia_2022_15,claytonfejedelem_mia_2022,mia_2022,claytonfejedelem,10879,s,mia,1,2,,2.0,0,0,0,0,0,0,0,0,0,15,2022,15
andrewadams_ten_2022_15,ten_2022_15,andrewadams_ten_2022,ten_2022,andrewadams,11240,s,ten,1,1,,1.0,0,0,0,0,0,0,0,0,0,15,2022,15
antoinewinfieldjr_tb_2022_15,tb_2022_15,antoinewinfieldjr_tb_2022,tb_2022,antoinewinfieldjr,42475,s,tb,1,16,16.0,16.0,0,0,0,0,0,0,0,0,0,15,2022,15
antoniohamilton_ari_2022_15,ari_2022_15,antoniohamilton_ari_2022,ari_2022,antoniohamilton,11353,cb,ari,1,12,12.0,12.0,0,0,0,0,0,0,0,0,0,15,2022,15
seanmurphybunting_tb_2022_15,tb_2022_15,seanmurphybunting_tb_2022,tb_2022,seanmurphybunting,25891,cb,tb,1,11,11.0,11.0,0,0,0,0,0,0,0,0,0,15,2022,15
troyhill_lar_2022_15,lar_2022_15,troyhill_lar_2022,lar_2022,troyhill,9881,cb,lar,1,37,9.3,6.2,0,0,0,0,0,0,0,0,0,15,2022,15
samfranklin_car_2022_15,car_2022_15,samfranklin_car_2022,car_2022,samfranklin,43580,s,car,1,9,9.0,4.5,0,0,0,0,0,0,0,0,0,15,2022,15
derwinjames_lac_2022_15,lac_2022_15,derwinjames_lac_2022,lac_2022,derwinjames,51368,s,lac,1,8,8.0,4.0,0,0,0,0,0,0,0,0,0,15,2022,15
alohigilman_lac_2022_15,lac_2022_15,alohigilman_lac_2022,lac_2022,alohigilman,41662,s,lac,1,8,8.0,4.0,0,0,0,0,0,0,0,0,0,15,2022,15
