Player,Team,Pos,Injury,Status,Est. Return
Jamal Adams,SEA,S,Knee,IR,Subscribers Only
Rodney Adams,NYJ,WR,Illness,NFI-R,Subscribers Only
Olasunkanmi Adeniyi,FA,LB,Undisclosed,Questionable,Subscribers Only
Otaro Alaka,FA,LB,Undisclosed,Questionable,Subscribers Only
Isaac Alarcon,FA,OT,Ankle,Questionable,Subscribers Only
Christian Albright,FA,LB,Undisclosed,Questionable,Subscribers Only
Maurice Alexander,FA,WR,Ankle,Questionable,Subscribers Only
Brian Allen,LAR,C,Calf,Out,Subscribers Only
Christopher Allen,DEN,LB,Foot,IR,Subscribers Only
Dakota Allen,DEN,LB,Hamstring,IR,Subscribers Only
Zach Allen,ARI,DE,Hand,Out,Subscribers Only
Tremayne Anchrum,LAR,OT,Lower Leg,IR,Subscribers Only
Darius Anderson,HOU,RB,Knee,IR,Subscribers Only
Tycen Anderson,CIN,S,Hamstring,IR,Subscribers Only
Eli Ankou,FA,DT,Undisclosed,Out,Subscribers Only
Ezekiel Ansah,FA,DE,Biceps,Questionable,Subscribers Only
Andre Anthony,FA,LB,Undisclosed,Out,Subscribers Only
Jalyn Armour-Davis,BAL,CB,Hip,IR,Subscribers Only
Terron Armstead,MIA,OT,Toe,Questionable,Subscribers Only
Dorance Armstrong,DAL,DE,Knee,Questionable,Subscribers Only
Grayland Arnold,HOU,S,Quadriceps,IR-R,Subscribers Only
Jaytlin Askew,FA,CB,Quadriceps,Questionable,Subscribers Only
Calvin Austin,PIT,WR,Foot,IR,Subscribers Only
Anthony Averett,LV,CB,Toe,IR,Subscribers Only
C. J. Avery,FA,LB,Undisclosed,Questionable,Subscribers Only
Genard Avery,TB,LB,Abdomen,Out,Subscribers Only
Tre Avery,TEN,CB,Concussion,Questionable,Subscribers Only
Kayode Awosika,DET,OG,Ankle,Out,Subscribers Only
Chidobe Awuzie,CIN,CB,Knee - ACL,IR,Subscribers Only
Jake Bailey,NE,P,Back,IR-R,Subscribers Only
Jerome Baker,MIA,LB,Ankle,Questionable,Subscribers Only
David Bakhtiari,GB,OT,Appendix,Questionable,Subscribers Only
Derrick Barnes,DET,LB,Knee,Questionable,Subscribers Only
Derek Barnett,PHI,DE,Knee - ACL,IR,Subscribers Only
Shaquil Barrett,TB,LB,Achilles,IR,Subscribers Only
Alex Bars,LV,OG,Knee,Questionable,Subscribers Only
Ben Bartch,JAX,OG,Knee,IR,Subscribers Only
Jackson Barton,LV,OT,Back,Questionable,Subscribers Only
Boogie Basham,BUF,DE,Calf,Out,Subscribers Only
Rashod Bateman,BAL,WR,Foot,IR,Subscribers Only
Zack Baun,NO,LB,Ankle,IR,Subscribers Only
Nick Bawden,NYJ,FB,Undisclosed,IR,Subscribers Only
Evan Baylis,FA,TE,Ankle,Questionable,Subscribers Only
Kelvin Beachum,ARI,OT,Knee,Questionable,Subscribers Only
Darrian Beavers,NYG,LB,Knee - ACL,IR,Subscribers Only
Willie Beavers,FA,OG,Undisclosed,Questionable,Subscribers Only
Nate Becker,FA,TE,Undisclosed,Questionable,Subscribers Only
Odell Beckham,FA,WR,Knee - ACL,Questionable,Subscribers Only
Mekhi Becton,NYJ,OT,Kneecap,IR,Subscribers Only
Blake Bell,KC,TE,Hip,IR-R,Subscribers Only
Greg Bell,DET,RB,Hamstring,IR,Subscribers Only
B.J. Bello,FA,LB,Ankle,Questionable,Subscribers Only
Christian Benford,BUF,CB,Oblique,IR,Subscribers Only
Trinity Benson,DET,WR,Knee,IR,Subscribers Only
Jared Bernhardt,ATL,WR,Groin,IR,Subscribers Only
Taylor Bertolet,FA,K,Quadriceps,Out,Subscribers Only
Vince Biegel,BAL,LB,Achilles,IR,Subscribers Only
Andrew Billings,LV,DT,Lower Leg,Questionable,Subscribers Only
Rodrigo Blankenship,FA,K,Undisclosed,Questionable,Subscribers Only
C.J. Board,TEN,WR,Ribs,IR,Subscribers Only
Slade Bolden,FA,WR,Undisclosed,Questionable,Subscribers Only
Garett Bolles,DEN,OT,Leg,IR,Subscribers Only
Devante Bond,DAL,LB,Knee,IR,Subscribers Only
Mike Boone,DEN,RB,Ankle,IR,Subscribers Only
Andrew Booth,MIN,CB,Knee - Meniscus,IR,Subscribers Only
Joey Bosa,LAC,LB,Groin,IR,Subscribers Only
Garrett Bradbury,MIN,C,Back,Out,Subscribers Only
Ben Braden,FA,OG,Undisclosed,Questionable,Subscribers Only
Blake Brandel,MIN,OT,Knee - MCL,IR,Subscribers Only
Aaron Brewer,TEN,C,Ribs,Questionable,Subscribers Only
Chandler Brewer,LAR,OT,Knee - MCL,IR-R,Subscribers Only
Beau Brinkley,ATL,C,Undisclosed,IR,Subscribers Only
Justin Britt,HOU,C,Personal,NFI-R,Subscribers Only
Gabe Brkic,FA,K,Hamstring,Questionable,Subscribers Only
Anthony Brown,DAL,CB,Achilles,IR,Subscribers Only
Ben Brown,CIN,C,Biceps,IR,Subscribers Only
Daniel Brown,FA,TE,Hip,Questionable,Subscribers Only
Jayon Brown,LV,LB,Hand,IR,Subscribers Only
Marquise Brown,ARI,WR,Groin,Questionable,Subscribers Only
Mike Brown,FA,OG,Undisclosed,Questionable,Subscribers Only
Montaric Brown,JAX,CB,Coach's Decision,Inactive,Subscribers Only
Shakur Brown,FA,CB,Undisclosed,Questionable,Subscribers Only
Logan Bruss,LAR,OG,Knee - ACL + MCL,IR,Subscribers Only
Hunter Bryant,FA,TE,Undisclosed,Questionable,Subscribers Only
Bryan Bulaga,FA,OT,Back,Questionable,Subscribers Only
Jonathan Bullard,MIN,DE,Biceps,IR,Subscribers Only
Ian Bunting,DAL,TE,Neck,IR,Subscribers Only
Treylon Burks,TEN,WR,Concussion,Questionable,Subscribers Only
Ben Burr-Kirven,SEA,LB,Knee - ACL,PUP-R,Subscribers Only
Deon Bush,KC,S,Illness,Questionable,Subscribers Only
Adam Butler,FA,DE,Undisclosed,Questionable,Subscribers Only
Darien Butler,LV,LB,Ribs,Questionable,Subscribers Only
Akial Byers,FA,DT,Undisclosed,Questionable,Subscribers Only
Jason Cabinda,DET,FB,Illness,Out,Subscribers Only
Bryce Callahan,LAC,CB,Groin,Questionable,Subscribers Only
Jalen Camp,FA,WR,Oblique,Out,Subscribers Only
Calais Campbell,BAL,DE,Knee,Out,Subscribers Only
Chance Campbell,TEN,LB,Knee,IR,Subscribers Only
Elijah Campbell,MIA,S,Concussion,Questionable,Subscribers Only
Ibraheim Campbell,FA,S,Ankle,Questionable,Subscribers Only
Marcus Cannon,NE,OT,Concussion,IR,Subscribers Only
Trenton Cannon,TEN,RB,Knee,IR,Subscribers Only
Dylan Cantrell,FA,TE,Undisclosed,Questionable,Subscribers Only
Joe Cardona,NE,C,Foot,Out,Subscribers Only
Patrick Carr,FA,RB,Undisclosed,Questionable,Subscribers Only
Cethan Carter,MIA,TE,Concussion,IR,Subscribers Only
Jamal Carter,FA,S,Undisclosed,Questionable,Subscribers Only
Tariq Castro-Fields,WAS,CB,Knee,IR,Subscribers Only
Quintez Cephus,DET,WR,Foot,IR-R,Subscribers Only
Ty Chandler,MIN,RB,Thumb,IR-R,Subscribers Only
Saahdiq Charles,WAS,OT,Concussion,Out,Subscribers Only
DeMarcus Christmas,FA,DT,Undisclosed,Questionable,Subscribers Only
Bradley Chubb,MIA,LB,Knee,Questionable,Subscribers Only
Jack Cichy,FA,LB,Arm,Questionable,Subscribers Only
Lewis Cine,MIN,S,Lower Leg,IR,Subscribers Only
Darius Clark,FA,RB,Knee,Questionable,Subscribers Only
Chase Claypool,CHI,WR,Knee,Doubtful,Subscribers Only
Jadeveon Clowney,CLE,DE,Concussion,Out,Subscribers Only
Tarik Cohen,FA,RB,Achilles,Out,Subscribers Only
Dylan Cole,TEN,LB,Ankle,Out,Subscribers Only
Alex Collins,FA,RB,Abdomen,Questionable,Subscribers Only
Nico Collins,HOU,WR,Foot,Out,Subscribers Only
Tom Compton,DEN,OT,Back,IR,Subscribers Only
Gareon Conley,FA,CB,Ankle,Questionable,Subscribers Only
Cody Conway,FA,OT,Knee - ACL,Questionable,Subscribers Only
Brandin Cooks,HOU,WR,Calf,Questionable,Subscribers Only
Marquise Copeland,LAR,DT,Ankle,Questionable,Subscribers Only
Cody Core,FA,WR,Undisclosed,Questionable,Subscribers Only
Matt Corral,CAR,QB,Foot,IR,Subscribers Only
Nathan Cottrell,FA,RB,Undisclosed,Questionable,Subscribers Only
Christian Covington,LAC,DT,Pectoral,IR,Subscribers Only
River Cracraft,MIA,WR,Calf,Questionable,Subscribers Only
Damarea Crockett,DEN,RB,Knee - ACL,IR,Subscribers Only
Tyrell Crosby,FA,OT,Back,Questionable,Subscribers Only
Keion Crossen,MIA,CB,Knee,Questionable,Subscribers Only
Jamison Crowder,BUF,WR,Ankle,IR,Subscribers Only
Isaiah Crowell,FA,RB,Achilles,Questionable,Subscribers Only
Dane Cruikshank,CHI,S,Hamstring,IR,Subscribers Only
Zach Cunningham,TEN,LB,Elbow,IR-R,Subscribers Only
Kamren Curl,WAS,S,Ankle,Questionable,Subscribers Only
Lloyd Cushenberry,DEN,C,Groin,IR,Subscribers Only
Tae Daley,FA,S,Undisclosed,Questionable,Subscribers Only
DeeJay Dallas,SEA,RB,Ankle,Questionable,Subscribers Only
Mike Danna,KC,DE,Illness,Questionable,Subscribers Only
Cameron Dantzler,MIN,CB,Ankle,Questionable,Subscribers Only
Ronald Darby,DEN,CB,Knee - ACL,IR,Subscribers Only
D.J. Davidson,NYG,DT,Knee - ACL,IR,Subscribers Only
Cody Davis,NE,S,Knee,IR,Subscribers Only
Jalen Davis,CIN,CB,Thumb,Questionable,Subscribers Only
Kalia Davis,SF,DT,Undisclosed,NFI-R,Subscribers Only
Nate Davis,TEN,OG,Ankle,Out,Subscribers Only
Quartney Davis,FA,WR,Shoulder,Questionable,Subscribers Only
Shawn Davis,FA,S,Abdomen,Questionable,Subscribers Only
Divine Deablo,LV,LB,Forearm,IR,Subscribers Only
Jamel Dean,TB,CB,Toe,Out,Subscribers Only
Dawson Deaton,CLE,C,Knee - ACL,IR,Subscribers Only
Drew Desjarlais,FA,OG,Undisclosed,Out,Subscribers Only
Trevon Diggs,DAL,CB,Illness,Questionable,Subscribers Only
De'Shaan Dixon,JAX,LB,Coach's Decision,Inactive,Subscribers Only
Aaron Donald,LAR,DT,Ankle,Out,Subscribers Only
Greg Dortch,ARI,WR,Knee,Questionable,Subscribers Only
Rico Dowdle,DAL,RB,Ankle,IR,Subscribers Only
Tommy Doyle,BUF,OT,Knee - ACL,IR,Subscribers Only
Dakota Dozier,CHI,OG,Knee - ACL,IR,Subscribers Only
Josh Drayden,FA,CB,Undisclosed,Questionable,Subscribers Only
Isaiah Dunn,SEA,CB,Hamstring,IR,Subscribers Only
Michael Dunn,CLE,OG,Back,IR,Subscribers Only
Devin Duvernay,BAL,WR,Foot,IR,Subscribers Only
Nate Ebner,FA,S,Ankle,Questionable,Subscribers Only
Brandin Echols,NYJ,CB,Quadriceps,Inactive,Subscribers Only
Chase Edmonds,DEN,RB,Ankle,IR-R,Subscribers Only
Terrell Edmunds,PIT,S,Hamstring,Questionable,Subscribers Only
Chuma Edoga,ATL,OG,Knee,Out,Subscribers Only
David Edwards,LAR,OG,Concussion,IR,Subscribers Only
Clyde Edwards-Helaire,KC,RB,Ankle,IR,Subscribers Only
Liam Eichenberg,MIA,OG,Knee - MCL,IR-R,Subscribers Only
Duke Ejiofor,FA,LB,Undisclosed,Questionable,Subscribers Only
Pat Elflein,CAR,C,Hip,IR,Subscribers Only
Ben Ellefson,MIN,TE,Groin,IR,Subscribers Only
DeShon Elliott,DET,S,Shoulder,Out,Subscribers Only
Alex Ellis,FA,TE,Undisclosed,Questionable,Subscribers Only
Noah Elliss,FA,DT,Undisclosed,Questionable,Subscribers Only
Donnie Ernsberger,FA,TE,Undisclosed,Questionable,Subscribers Only
Zach Ertz,ARI,TE,Knee - ACL + MCL,IR,Subscribers Only
Tyler Ervin,FA,RB,Foot,Questionable,Subscribers Only
Dee Eskridge,SEA,WR,Hand,IR,Subscribers Only
Drew Estrada,FA,WR,Achilles,Out,Subscribers Only
Akayleb Evans,MIN,CB,Concussion,IR,Subscribers Only
Joshua Ezeudu,NYG,OG,Neck,IR,Subscribers Only
Jequez Ezzard,FA,WR,Undisclosed,Questionable,Subscribers Only
Noah Fant,SEA,TE,Knee,Questionable,Subscribers Only
Caleb Farley,TEN,CB,Back,IR,Subscribers Only
Matt Farniok,DAL,C,Hamstring,IR,Subscribers Only
Folorunso Fatukasi,JAX,DT,Ankle,Questionable,Subscribers Only
