,feature,t_stat,t_stat_abs,rsqrd,adj_rsqrd,runNum
1622,pass_under_pressure_blitz_sacks_pass_pressure_fav,-2.977084106,2.982794044,0.083872352,0.009732192,99307.31568
3249,run_block_zone_snap_counts_run_block_run_block_fav,-2.910315863,2.911034709,0.083672774,0.009464285,98884.67703
3251,run_block_zone_snap_counts_run_play_run_block_fav,-2.847549863,2.909717151,0.083811151,0.009399647,99873.7519
72,block_summary_snap_counts_lg_block_dog,2.857170963,2.857170963,0.083696571,0.00916422,100157.0982
279,def_coverage_summary_snap_counts_coverage_def_cov_summ_fav,-2.7555031,2.756625162,0.083469161,0.009104785,99271.52877
854,off_dvoa_fav,2.720778046,2.720778046,0.083040094,0.008686873,99142.79664
1503,pass_time_more_avg_time_to_throw_time_pocket_dog,-2.652338727,2.652797676,0.083065577,0.008285099,99461.35017
2108,rec_depth_behind_los_grades_hands_drop_rec_depth_dog,-2.523667712,2.5241194,0.081958246,0.007954653,99901.25653
281,def_coverage_summary_snap_counts_pass_play_def_cov_summ_fav,-2.473280805,2.517589314,0.082822521,0.008138003,100942.3284
3247,run_block_zone_snap_counts_run_block_percent_run_block_fav,-2.485424472,2.509930743,0.081609189,0.008009579,99970.36224
3227,run_block_gap_snap_counts_run_block_percent_run_block_fav,2.49888065,2.504417641,0.082714458,0.008007277,99785.01953
3433,special_teams_tgs_fav,2.397627799,2.398023469,0.082065639,0.007512462,100690.8003
1976,rec_concept_screen_contested_catch_rate_rec_concept_dog,-2.376177308,2.376177308,0.081872751,0.007486726,99414.53076
1621,pass_under_pressure_blitz_sacks_pass_pressure_dog,-2.371742105,2.37322263,0.08189727,0.007478872,100392.0054
2101,rec_depth_behind_los_drop_rate_rec_depth_fav,2.366486572,2.366486572,0.081927249,0.00755899,100140.7976
3125,rec_summary_caught_percent_rec_fav,-2.366019124,2.366019124,0.08217595,0.007487522,101056.1235
2102,rec_depth_behind_los_drops_rec_depth_dog,2.346427699,2.354302825,0.081711922,0.007405602,101169.975
2958,rec_depth_short_first_downs_rec_depth_dog,-2.34854737,2.348549629,0.082063196,0.007371136,99445.81462
1189,pass_depth_medium_avg_time_to_throw_passdepth_fav,2.331728601,2.331728601,0.081482311,0.007195581,99969.81257
2677,rec_depth_medium_fumbles_rec_depth_fav,-2.315818987,2.315818987,0.081336809,0.007027604,100074.7352
1657,pass_under_pressure_no_blitz_avg_time_to_throw_pass_pressure_dog,-2.305513405,2.306171073,0.082051086,0.007466445,100107.47
828,kicking_pat_percent_dog,-2.304831386,2.304912831,0.081883886,0.007277905,100313.458
1956,punting_snaps_dog,2.298641237,2.299459747,0.081424397,0.007571572,100710.6313
829,kicking_pat_percent_fav,-2.298667262,2.298686895,0.081606815,0.006919962,100093.9318
2996,rec_depth_short_yards_rec_depth_dog,-2.27798275,2.279393695,0.081632786,0.007427306,99396.96648
1918,punting_attempts_dog,2.238756509,2.273702539,0.082128929,0.007324247,99138.31259
712,draft_yr_passing_dog,2.272710631,2.272710631,0.081545878,0.007299849,100635.8681
1321,pass_rush_true_pass_set_pass_rush_win_rate_pass_rush_summ_fav,-2.27078728,2.27078728,0.081316774,0.007016628,100792.9996
865,off_rush_dvoa_dog_vs_def_rush_dvoa_fav,2.266361515,2.266361515,0.082058044,0.007117138,100248.247
1920,punting_attempts_with_hangtime_dog,2.227933552,2.265282997,0.08158689,0.007184745,100361.4456
222,def_coverage_scheme_zone_yards_per_coverage_snap_def_cov_schem_dog,-2.238695056,2.238695056,0.081359744,0.006869538,100289.9157
3235,run_block_penalties_run_block_fav,-2.234023745,2.234023745,0.081514282,0.007006851,100451.1671
39,block_summary_block_percent_block_fav,2.231179742,2.232793593,0.081733241,0.007115592,100210.5131
762,inj_count_ol_dog,2.221205358,2.221205358,0.08131723,0.006722907,99168.16544
