player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Chauncey Gardner-Johnson,49371,S,PHI,1,0,24,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,2.0,1,51,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Rasul Douglas,11854,CB,GB,1,0,12,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,3.6,1,28,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Jaquan Brisker,101665,S,CHI,1,0,6,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,3.6,1,28,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
A.J. Klein,7930,LB,BLT,1,0,3,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,10.0,1,10,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
T.J. Edwards,30737,LB,PHI,1,0,24,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,2.0,1,50,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Fred Warner,51222,LB,SF,1,0,28,1,1,0,1,1,0,100.0,4,3,50.0,1,1,0,0,11.1,4,36,3,50.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Tyrann Mathieu,7850,S,NO,1,0,20,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,2.3,1,43,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Dee Alford,110542,CB,ATL,1,0,2,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,6.7,1,15,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Christian Kirksey,8706,LB,HST,1,0,13,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,8.3,1,12,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Marco Wilson,55592,CB,ARZ,1,0,1,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,2.4,1,41,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Deion Jones,10686,LB,CLV,1,0,8,0,0,0,0,0,0,100.0,2,1,50.0,1,1,0,0,6.3,2,32,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Kerby Joseph,83239,S,DET,1,0,11,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,2.5,1,40,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Damone Clark,81282,LB,DAL,1,0,9,0,1,0,0,0,0,0.0,0,0,,0,0,0,1,7.1,1,14,1,50.0,0,0,1,1,100.0,1,1,50.0,0,0,0,0,0,0
Desmond King II,11906,CB,HST,1,0,13,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,11.1,1,9,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Kaden Elliss,51485,LB,NO,1,0,20,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,33.3,1,3,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Will Harris,51336,CB,DET,1,0,11,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,4.5,1,22,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Malcolm Rodriguez,60731,LB,DET,1,0,11,0,0,0,0,0,0,66.7,2,1,50.0,1,1,0,0,11.5,3,26,1,33.3,0,0,0,0,33.3,1,0,0.0,0,0,0,1,1,0
Jayron Kearse,10878,S,DAL,1,0,9,0,0,0,0,0,0,100.0,3,1,33.3,1,1,0,0,10.0,3,30,1,33.3,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Juju Hughes,49545,S,DET,1,0,11,0,0,0,0,0,0,66.7,2,1,50.0,1,1,0,0,7.5,3,40,1,33.3,0,0,0,0,33.3,1,0,0.0,0,0,0,1,1,0
Sione Takitaki,12666,LB,CLV,1,0,8,0,0,0,0,0,0,100.0,2,1,50.0,1,1,0,0,9.4,3,32,1,33.3,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Vonn Bell,10695,S,CIN,1,0,7,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,12.5,3,24,1,33.3,0,0,0,0,100.0,3,1,33.3,1,0,0,1,0,0
Roy Lopez,48676,DI,HST,1,0,13,1,0,0,0,0,0,40.0,2,1,50.0,1,1,0,0,100.0,5,5,2,30.0,0,1,0,0,60.0,3,1,16.7,0,0,0,1,1,0
Michael Carter II,60644,CB,NYJ,1,0,22,0,2,0,0,0,0,25.0,1,0,0.0,0,0,0,0,10.3,4,39,2,25.0,0,0,2,0,75.0,3,2,33.3,0,0,0,0,0,0
