player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Ronnie Harrison,49206,S,CLV,1,0,8,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,7.1,1,14,1,100.0,0,0,0,0,100.0,1,1,100.0,1,0,0,1,0,0
Damien Wilson,9560,LB,CAR,1,0,5,0,0,0,0,0,0,,0,0,,0,0,0,0,7.7,1,13,1,100.0,0,0,0,0,,0,0,,0,0,0,1,1,0
Duke Riley,11830,LB,MIA,1,0,17,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,6.7,1,15,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Minkah Fitzpatrick,51206,S,PIT,1,0,25,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,1.5,1,65,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
William Jackson III,10658,CB,WAS,1,0,32,0,2,0,0,2,0,100.0,2,2,50.0,0,0,0,0,4.4,2,45,2,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Da'Shawn Hand,48386,DI,TEN,1,0,31,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,100.0,1,1,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Benjamin St-Juste,56061,CB,WAS,1,0,32,1,1,0,1,0,0,50.0,1,1,50.0,0,0,0,0,4.9,2,41,2,50.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
Bobby McCain,9578,S,WAS,1,0,32,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,2.2,1,45,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Nick Cross,97514,S,IND,1,0,14,0,1,0,0,1,1,100.0,1,1,50.0,0,0,0,1,2.4,1,41,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Eric Kendricks,9478,LB,MIN,1,0,18,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,2.4,1,42,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Juju Hughes,49545,S,DET,1,0,11,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,16.7,1,6,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Rashad Fenton,49329,CB,KC,1,0,16,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,3.0,1,33,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Jamal Adams,11761,S,SEA,1,0,29,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,11.1,1,9,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Tracy Walker,51266,S,DET,1,0,11,0,0,0,0,0,0,100.0,2,1,50.0,1,1,0,0,5.6,2,36,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Arthur Maulet,12224,CB,PIT,1,0,25,0,2,0,0,1,1,20.0,1,1,50.0,0,0,0,1,11.9,5,42,3,40.0,0,0,1,0,80.0,4,2,37.5,1,1,0,1,1,0
L'Jarius Sneed,40588,CB,KC,1,0,16,1,0,0,1,0,0,75.0,3,2,50.0,1,1,0,0,10.8,4,37,2,37.5,0,0,0,0,25.0,1,0,0.0,0,0,0,1,1,0
Derwin James,51368,S,LAC,1,0,27,0,1,0,0,1,0,50.0,2,1,25.0,0,0,0,0,9.3,4,43,2,37.5,0,0,0,0,50.0,2,1,50.0,1,1,0,1,1,0
David Long,29367,LB,TEN,1,0,31,1,3,0,1,0,0,50.0,2,1,25.0,0,0,0,0,20.7,6,29,4,33.3,0,0,2,0,50.0,2,2,50.0,0,0,0,0,0,0
Cody Barton,50727,LB,SEA,1,0,29,0,0,0,0,0,0,100.0,3,1,33.3,1,1,0,0,7.3,3,41,1,33.3,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Anthony Walker,11916,LB,CLV,1,0,8,0,2,0,0,2,0,66.7,2,2,50.0,0,0,0,0,13.6,3,22,2,33.3,0,0,0,0,33.3,1,0,0.0,0,0,0,0,0,0
Xavier McKinney,55775,S,NYG,1,0,21,0,2,0,0,0,0,33.3,1,0,0.0,0,0,0,0,8.8,3,34,2,33.3,0,0,2,0,66.7,2,2,50.0,0,0,0,0,0,0
John Johnson III,11847,S,CLV,1,0,8,0,0,0,0,0,0,100.0,3,1,33.3,1,1,0,0,9.4,3,32,1,33.3,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Brandon Jones,43049,S,MIA,1,0,17,0,0,0,0,0,0,33.3,1,0,0.0,0,0,0,0,9.1,3,33,1,33.3,0,0,0,0,66.7,2,1,50.0,1,1,0,1,1,0
Mike Hilton,10898,CB,CIN,1,0,7,1,0,0,1,0,0,50.0,1,1,50.0,0,0,0,0,5.4,2,37,1,25.0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0,0
Richie Grant,43196,S,ATL,1,0,2,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,5.3,2,38,1,25.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
